,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
38162,33.0,male,Bachelor,103193.0,11,RENT,25000.0,HOMEIMPROVEMENT,12.39,0.24,10.0,719.0,Yes,0.0
21858,32.0,male,High School,85244.0,8,RENT,,EDUCATION,9.99,0.07,8.0,609.0,Yes,0.0
7147,26.0,female,Bachelor,81476.0,4,RENT,7000.0,MEDICAL,8.9,0.09,2.0,675.0,No,0.0
10359,25.0,female,Bachelor,29883.0,4,RENT,,HOMEIMPROVEMENT,9.91,0.33,4.0,661.0,No,1.0
41102,33.0,female,Bachelor,65860.0,13,RENT,10000.0,MEDICAL,8.83,0.15,6.0,,Yes,0.0
21599,30.0,male,Bachelor,59567.0,7,OWN,8500.0,PERSONAL,12.18,0.14,8.0,664.0,No,0.0
23203,34.0,female,Bachelor,72662.0,12,MORTGAGE,7000.0,EDUCATION,12.53,0.1,10.0,,No,0.0
10236,23.0,female,Associate,80025.0,0,MORTGAGE,8750.0,EDUCATION,9.99,0.11,2.0,564.0,Yes,0.0
864,26.0,female,Bachelor,202337.0,2,RENT,20000.0,VENTURE,11.36,0.1,4.0,652.0,No,0.0
1377,24.0,female,Associate,32597.0,3,MORTGAGE,6000.0,DEBTCONSOLIDATION,8.9,0.18,4.0,634.0,No,0.0
25712,34.0,female,High School,225473.0,8,RENT,12000.0,VENTURE,7.9,0.05,10.0,,Yes,0.0
8943,24.0,female,Bachelor,73057.0,2,MORTGAGE,9000.0,VENTURE,11.01,0.12,4.0,616.0,Yes,0.0
27535,33.0,female,High School,178617.0,8,MORTGAGE,8000.0,VENTURE,13.98,0.04,5.0,582.0,Yes,0.0
40178,36.0,male,Bachelor,57773.0,11,RENT,4892.0,DEBTCONSOLIDATION,11.9,0.08,10.0,624.0,Yes,0.0
2676,23.0,male,High School,61262.0,0,RENT,3000.0,EDUCATION,11.01,0.05,2.0,569.0,Yes,0.0
9685,23.0,male,Associate,76901.0,1,OTHER,4800.0,DEBTCONSOLIDATION,12.53,0.06,4.0,667.0,Yes,0.0
28818,28.0,male,High School,68261.0,4,RENT,8400.0,MEDICAL,7.51,0.12,10.0,598.0,No,1.0
2784,23.0,female,High School,42395.0,0,MORTGAGE,5000.0,EDUCATION,7.9,0.12,3.0,661.0,Yes,0.0
24763,28.0,female,,91151.0,4,MORTGAGE,15250.0,VENTURE,11.34,0.17,5.0,669.0,Yes,0.0
35219,32.0,male,High School,224619.0,9,MORTGAGE,10000.0,MEDICAL,15.27,0.04,10.0,555.0,Yes,0.0
35725,30.0,male,High School,64543.0,10,MORTGAGE,,EDUCATION,12.02,0.1,10.0,624.0,Yes,0.0
33862,36.0,male,Associate,73011.0,12,RENT,7000.0,HOMEIMPROVEMENT,7.84,0.1,12.0,607.0,No,0.0
15542,25.0,male,High School,175468.0,2,MORTGAGE,25000.0,EDUCATION,16.35,0.14,2.0,683.0,Yes,0.0
14856,26.0,female,Bachelor,141401.0,4,OWN,7200.0,VENTURE,10.74,0.05,4.0,658.0,Yes,0.0
15065,24.0,female,Bachelor,145063.0,2,MORTGAGE,15200.0,VENTURE,12.21,0.1,2.0,538.0,Yes,0.0
14873,23.0,female,Bachelor,109238.0,0,MORTGAGE,21600.0,MEDICAL,11.01,0.2,2.0,610.0,No,1.0
23914,31.0,female,Associate,81619.0,11,MORTGAGE,10000.0,PERSONAL,6.03,0.12,7.0,664.0,Yes,0.0
16960,22.0,female,Master,83510.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,15.62,0.12,3.0,654.0,No,1.0
6599,23.0,female,Bachelor,60947.0,4,RENT,6000.0,VENTURE,13.49,0.1,3.0,681.0,No,0.0
35471,29.0,male,Associate,61234.0,6,RENT,,DEBTCONSOLIDATION,11.01,0.24,5.0,524.0,Yes,0.0
29102,,female,Bachelor,97098.0,13,RENT,5000.0,EDUCATION,6.17,0.05,8.0,,No,0.0
34641,25.0,male,Associate,48526.0,4,RENT,7094.0,EDUCATION,11.57,0.15,6.0,672.0,No,0.0
16037,22.0,female,Associate,26908.0,0,RENT,2400.0,EDUCATION,16.29,0.09,4.0,675.0,No,1.0
1674,23.0,female,Associate,55130.0,0,RENT,1700.0,DEBTCONSOLIDATION,14.72,0.03,2.0,605.0,Yes,0.0
28619,28.0,male,High School,57279.0,5,MORTGAGE,10000.0,MEDICAL,13.61,0.17,10.0,656.0,No,1.0
32411,52.0,female,Associate,87091.0,29,RENT,7000.0,VENTURE,16.82,0.08,28.0,707.0,No,1.0
26433,35.0,female,Bachelor,122521.0,11,MORTGAGE,4500.0,HOMEIMPROVEMENT,9.32,0.04,5.0,609.0,Yes,0.0
19216,29.0,male,Master,34698.0,2,RENT,,MEDICAL,6.17,0.38,10.0,671.0,No,1.0
23104,,female,Master,73215.0,5,MORTGAGE,7200.0,PERSONAL,7.88,0.1,7.0,,Yes,0.0
1942,22.0,male,Master,90889.0,0,RENT,2000.0,EDUCATION,13.43,0.02,3.0,664.0,No,0.0
31657,39.0,female,Associate,130730.0,17,MORTGAGE,12000.0,HOMEIMPROVEMENT,6.99,0.09,13.0,623.0,No,1.0
22804,29.0,female,High School,29711.0,9,RENT,7750.0,VENTURE,13.85,0.26,8.0,646.0,No,1.0
9033,26.0,female,Associate,72948.0,4,OWN,9800.0,VENTURE,11.01,0.13,4.0,634.0,Yes,0.0
15111,25.0,male,High School,147321.0,2,MORTGAGE,35000.0,PERSONAL,13.8,0.24,3.0,613.0,Yes,0.0
40056,23.0,male,High School,61178.0,0,RENT,,EDUCATION,8.12,0.11,3.0,571.0,Yes,
13893,23.0,male,High School,39496.0,2,OWN,3500.0,EDUCATION,15.27,0.09,3.0,595.0,Yes,0.0
35496,26.0,male,Associate,78831.0,0,RENT,4200.0,DEBTCONSOLIDATION,15.2,0.05,4.0,618.0,Yes,0.0
7791,,female,Bachelor,46038.0,1,RENT,7000.0,MEDICAL,11.01,0.15,3.0,610.0,Yes,
42503,26.0,male,Bachelor,41551.0,2,RENT,6000.0,DEBTCONSOLIDATION,15.61,0.14,4.0,673.0,No,1.0
31247,36.0,male,Master,100878.0,12,MORTGAGE,13000.0,VENTURE,11.97,0.13,14.0,700.0,No,0.0
35081,29.0,male,Bachelor,109134.0,8,RENT,6000.0,DEBTCONSOLIDATION,13.98,0.05,8.0,706.0,Yes,0.0
4234,21.0,male,Master,44392.0,0,RENT,4500.0,VENTURE,17.27,0.1,2.0,548.0,No,1.0
14410,23.0,male,Bachelor,127883.0,0,MORTGAGE,25000.0,PERSONAL,6.99,0.2,4.0,629.0,Yes,0.0
9672,,male,Associate,69465.0,2,MORTGAGE,6500.0,MEDICAL,13.04,0.09,4.0,635.0,No,1.0
34497,28.0,male,Associate,73170.0,3,RENT,3000.0,DEBTCONSOLIDATION,11.27,0.04,5.0,710.0,Yes,0.0
26474,29.0,female,Bachelor,124608.0,5,MORTGAGE,4500.0,MEDICAL,7.29,0.04,6.0,606.0,Yes,0.0
9859,26.0,female,Master,79010.0,4,MORTGAGE,12000.0,VENTURE,7.9,0.15,2.0,673.0,No,0.0
29890,38.0,female,Doctorate,49407.0,15,MORTGAGE,15000.0,EDUCATION,16.07,0.3,14.0,667.0,No,0.0
21385,33.0,,Associate,58510.0,9,OWN,4750.0,HOMEIMPROVEMENT,11.01,0.08,8.0,637.0,Yes,0.0
38665,23.0,male,Bachelor,63540.0,2,RENT,10000.0,VENTURE,11.94,0.16,2.0,659.0,No,0.0
35289,29.0,male,Master,72900.0,5,RENT,17000.0,PERSONAL,14.12,0.23,9.0,617.0,Yes,0.0
3971,,female,Bachelor,61096.0,2,RENT,4000.0,VENTURE,7.88,0.07,3.0,710.0,No,0.0
42499,32.0,male,Bachelor,31020.0,12,RENT,11765.0,PERSONAL,12.07,0.38,10.0,704.0,No,1.0
26142,28.0,female,Associate,45584.0,5,RENT,14000.0,DEBTCONSOLIDATION,14.42,0.31,10.0,684.0,No,1.0
8976,26.0,male,Bachelor,73057.0,8,MORTGAGE,7000.0,EDUCATION,9.62,0.1,3.0,655.0,Yes,
18613,27.0,male,High School,30156.0,6,MORTGAGE,11000.0,VENTURE,11.01,0.36,6.0,608.0,Yes,0.0
29123,36.0,male,Bachelor,84049.0,13,RENT,35000.0,VENTURE,11.01,0.42,15.0,700.0,No,1.0
226,21.0,male,Bachelor,18064.0,0,OWN,6250.0,VENTURE,14.72,0.35,2.0,580.0,No,1.0
32829,36.0,male,Bachelor,68539.0,12,MORTGAGE,20000.0,EDUCATION,13.57,0.29,12.0,526.0,No,0.0
44095,27.0,male,Master,48917.0,5,RENT,14000.0,MEDICAL,13.11,0.29,5.0,563.0,No,1.0
1860,24.0,male,High School,118432.0,0,RENT,15000.0,DEBTCONSOLIDATION,14.93,0.13,2.0,543.0,No,1.0
27601,27.0,male,,181255.0,6,MORTGAGE,12000.0,VENTURE,11.89,0.07,5.0,680.0,No,0.0
29621,42.0,male,High School,41547.0,21,MORTGAGE,5000.0,VENTURE,11.01,0.12,11.0,643.0,No,0.0
15249,23.0,,Bachelor,29899.0,1,OWN,7000.0,EDUCATION,7.14,0.23,3.0,669.0,No,0.0
11362,21.0,female,High School,89593.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.99,0.17,3.0,652.0,Yes,0.0
31089,36.0,male,High School,97201.0,10,RENT,10000.0,PERSONAL,13.61,0.1,14.0,638.0,Yes,0.0
32406,51.0,male,High School,118380.0,26,RENT,6000.0,PERSONAL,15.96,0.05,23.0,687.0,Yes,0.0
39518,26.0,female,Bachelor,80460.0,5,MORTGAGE,15000.0,VENTURE,10.27,0.19,4.0,674.0,Yes,0.0
40554,32.0,female,,37254.0,10,OWN,10000.0,VENTURE,7.37,0.27,8.0,660.0,No,0.0
17713,24.0,female,Associate,38303.0,0,RENT,7000.0,VENTURE,16.63,0.18,2.0,647.0,Yes,0.0
34700,26.0,male,Bachelor,139238.0,1,MORTGAGE,19607.0,EDUCATION,13.29,0.14,3.0,607.0,No,0.0
21834,28.0,male,Bachelor,60816.0,1,MORTGAGE,7000.0,EDUCATION,8.59,0.12,9.0,651.0,No,0.0
8547,22.0,male,Associate,34972.0,0,RENT,7900.0,VENTURE,9.99,0.23,2.0,629.0,Yes,0.0
2279,23.0,female,,53862.0,1,RENT,13000.0,MEDICAL,8.9,0.24,4.0,654.0,Yes,0.0
37264,36.0,male,High School,22514.0,12,RENT,1532.0,DEBTCONSOLIDATION,13.1,0.07,13.0,586.0,Yes,0.0
33026,24.0,male,Bachelor,103025.0,0,MORTGAGE,25000.0,MEDICAL,11.01,0.24,4.0,629.0,No,0.0
11255,24.0,female,High School,88038.0,3,MORTGAGE,25000.0,PERSONAL,17.99,0.28,2.0,644.0,No,0.0
24216,27.0,male,Associate,54943.0,2,RENT,10000.0,MEDICAL,9.2,0.18,10.0,,Yes,0.0
25785,27.0,female,Master,58351.0,6,RENT,2800.0,MEDICAL,7.49,0.05,5.0,591.0,Yes,0.0
4906,24.0,female,Associate,48690.0,0,RENT,5000.0,MEDICAL,14.22,0.1,4.0,582.0,Yes,0.0
31597,37.0,male,High School,132422.0,13,MORTGAGE,24000.0,MEDICAL,11.36,0.18,11.0,660.0,Yes,0.0
7963,24.0,male,Associate,59756.0,2,RENT,7000.0,EDUCATION,7.49,0.12,3.0,568.0,No,1.0
39401,25.0,female,Associate,25861.0,4,RENT,4800.0,VENTURE,8.9,0.19,4.0,681.0,No,0.0
17258,22.0,male,Associate,93174.0,0,MORTGAGE,12400.0,VENTURE,7.51,0.13,2.0,587.0,Yes,0.0
28044,33.0,female,Master,80824.0,10,MORTGAGE,9200.0,EDUCATION,11.01,0.11,6.0,591.0,No,0.0
38635,22.0,female,Associate,79024.0,0,RENT,10000.0,EDUCATION,9.49,0.13,3.0,646.0,No,0.0
23445,27.0,male,Master,76164.0,4,MORTGAGE,25000.0,EDUCATION,14.84,0.33,5.0,,Yes,
18882,28.0,male,Associate,67111.0,5,RENT,1500.0,EDUCATION,7.37,0.02,8.0,623.0,No,0.0
34299,24.0,female,Associate,54920.0,5,RENT,8000.0,EDUCATION,10.46,0.15,4.0,601.0,Yes,
26293,29.0,female,Associate,120897.0,7,MORTGAGE,10000.0,PERSONAL,14.79,0.08,6.0,524.0,Yes,0.0
40138,23.0,male,Master,66481.0,0,RENT,,HOMEIMPROVEMENT,11.01,0.12,2.0,667.0,No,0.0
27307,34.0,male,Master,142720.0,11,MORTGAGE,25000.0,EDUCATION,11.78,0.18,7.0,623.0,No,1.0
11979,23.0,male,Master,87613.0,0,MORTGAGE,12000.0,VENTURE,13.61,0.14,2.0,638.0,No,1.0
40343,28.0,female,Bachelor,84603.0,6,RENT,2500.0,DEBTCONSOLIDATION,11.93,0.03,5.0,646.0,Yes,0.0
17979,30.0,male,High School,238565.0,11,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.01,0.06,9.0,563.0,No,1.0
8733,23.0,female,Associate,44443.0,1,RENT,8000.0,VENTURE,11.01,0.18,2.0,542.0,Yes,0.0
18467,28.0,female,Bachelor,118758.0,6,RENT,20000.0,HOMEIMPROVEMENT,14.96,0.17,6.0,663.0,No,1.0
39769,25.0,female,Associate,124446.0,0,MORTGAGE,35000.0,VENTURE,9.29,0.28,7.0,625.0,Yes,0.0
1530,24.0,female,High School,34086.0,1,MORTGAGE,2000.0,PERSONAL,14.27,0.06,2.0,622.0,Yes,0.0
11261,26.0,male,Bachelor,65470.0,5,RENT,10000.0,EDUCATION,7.9,0.15,2.0,676.0,Yes,0.0
38256,,female,High School,63579.0,5,RENT,5704.0,MEDICAL,13.81,0.09,10.0,689.0,Yes,0.0
31005,36.0,male,Bachelor,66931.0,15,RENT,10000.0,MEDICAL,13.47,0.15,13.0,625.0,No,0.0
2348,25.0,male,High School,39460.0,3,MORTGAGE,4500.0,MEDICAL,11.01,0.11,2.0,626.0,Yes,0.0
16538,23.0,female,Bachelor,51599.0,0,MORTGAGE,12000.0,VENTURE,15.23,0.23,3.0,691.0,No,0.0
28837,34.0,female,Master,88552.0,12,MORTGAGE,20675.0,PERSONAL,11.01,0.23,9.0,646.0,No,0.0
34531,28.0,male,Master,46988.0,5,RENT,6000.0,DEBTCONSOLIDATION,10.46,0.13,8.0,636.0,Yes,0.0
1122,22.0,,High School,51715.0,2,RENT,17000.0,DEBTCONSOLIDATION,7.66,0.33,4.0,666.0,No,1.0
5897,24.0,female,Bachelor,87222.0,0,RENT,5500.0,EDUCATION,9.91,0.06,3.0,644.0,Yes,
10017,23.0,male,Associate,79144.0,0,MORTGAGE,9000.0,EDUCATION,7.88,0.11,3.0,651.0,No,0.0
8920,25.0,female,High School,58491.0,5,RENT,8000.0,VENTURE,10.59,0.14,4.0,659.0,Yes,0.0
15389,25.0,male,Bachelor,144890.0,1,MORTGAGE,25000.0,HOMEIMPROVEMENT,10.99,0.17,2.0,661.0,No,1.0
28839,28.0,male,Associate,26136.0,5,RENT,6250.0,DEBTCONSOLIDATION,7.9,0.24,8.0,645.0,Yes,0.0
1784,23.0,male,High School,35716.0,3,OWN,2000.0,EDUCATION,13.16,0.06,3.0,548.0,Yes,0.0
32121,37.0,female,Bachelor,78886.0,12,RENT,9000.0,EDUCATION,6.91,0.11,14.0,686.0,Yes,0.0
18141,34.0,female,Doctorate,207559.0,11,MORTGAGE,15000.0,PERSONAL,14.96,0.07,5.0,688.0,No,0.0
36363,36.0,male,High School,113558.0,12,RENT,3000.0,EDUCATION,8.21,0.03,14.0,562.0,No,0.0
5989,22.0,female,Bachelor,72625.0,1,RENT,5600.0,PERSONAL,10.65,0.08,4.0,592.0,Yes,0.0
34072,38.0,male,High School,123830.0,16,MORTGAGE,8854.0,MEDICAL,11.56,0.07,10.0,660.0,No,0.0
34332,26.0,male,Bachelor,117255.0,2,MORTGAGE,12000.0,VENTURE,9.39,0.1,4.0,619.0,Yes,0.0
2811,25.0,female,Associate,65750.0,0,RENT,3000.0,VENTURE,9.32,0.05,3.0,625.0,Yes,0.0
15358,25.0,male,Bachelor,156944.0,2,MORTGAGE,15000.0,PERSONAL,11.89,0.1,2.0,616.0,No,0.0
20516,29.0,female,Bachelor,43073.0,9,MORTGAGE,6250.0,DEBTCONSOLIDATION,15.95,0.15,9.0,698.0,No,1.0
35946,33.0,female,Bachelor,70717.0,10,RENT,14433.0,HOMEIMPROVEMENT,10.94,0.2,6.0,516.0,Yes,0.0
27416,28.0,female,High School,169315.0,6,MORTGAGE,18000.0,HOMEIMPROVEMENT,14.65,0.11,7.0,523.0,Yes,
24779,28.0,male,Associate,91594.0,3,MORTGAGE,3500.0,EDUCATION,14.91,0.04,9.0,671.0,Yes,0.0
24794,32.0,female,High School,102380.0,11,RENT,10000.0,DEBTCONSOLIDATION,9.88,0.1,10.0,602.0,Yes,0.0
41651,37.0,male,Associate,94504.0,17,MORTGAGE,20000.0,EDUCATION,13.9,0.21,11.0,549.0,Yes,0.0
12530,26.0,female,Associate,72823.0,3,RENT,12000.0,HOMEIMPROVEMENT,10.65,0.16,3.0,621.0,Yes,0.0
38923,32.0,male,Master,29970.0,10,RENT,4777.0,EDUCATION,9.11,0.16,11.0,738.0,No,0.0
15462,25.0,male,Associate,77703.0,0,RENT,15000.0,DEBTCONSOLIDATION,14.42,0.19,3.0,642.0,No,1.0
28986,33.0,female,Master,80063.0,7,RENT,6400.0,VENTURE,14.96,0.08,6.0,664.0,No,1.0
42928,29.0,male,Bachelor,80813.0,4,RENT,2668.0,DEBTCONSOLIDATION,12.63,0.03,5.0,675.0,No,1.0
27691,33.0,male,High School,184518.0,13,MORTGAGE,23100.0,HOMEIMPROVEMENT,14.74,0.13,9.0,635.0,No,1.0
5196,22.0,male,Associate,53912.0,1,MORTGAGE,6300.0,PERSONAL,12.29,0.12,3.0,588.0,Yes,0.0
1887,25.0,male,Bachelor,39111.0,3,RENT,14850.0,DEBTCONSOLIDATION,8.9,0.38,4.0,527.0,No,1.0
8682,23.0,male,Master,38607.0,0,RENT,8000.0,VENTURE,11.49,0.21,4.0,662.0,No,0.0
40866,24.0,female,High School,68476.0,0,RENT,8006.0,DEBTCONSOLIDATION,10.11,0.12,4.0,661.0,Yes,0.0
8766,22.0,male,Associate,72778.0,0,MORTGAGE,6750.0,MEDICAL,10.99,0.09,4.0,533.0,Yes,0.0
19101,,female,,36687.0,6,OWN,5000.0,PERSONAL,7.14,0.14,7.0,577.0,Yes,0.0
28959,34.0,female,Master,136812.0,10,RENT,9600.0,DEBTCONSOLIDATION,11.01,0.07,5.0,510.0,Yes,0.0
11312,24.0,male,,88337.0,1,MORTGAGE,16000.0,EDUCATION,7.88,0.18,4.0,635.0,Yes,0.0
44928,26.0,female,High School,31149.0,0,RENT,3089.0,VENTURE,14.5,0.1,5.0,655.0,No,1.0
44196,26.0,male,High School,60959.0,2,RENT,20089.0,DEBTCONSOLIDATION,7.49,0.33,3.0,,No,1.0
14805,26.0,,Bachelor,47595.0,5,RENT,15000.0,VENTURE,16.07,0.32,4.0,553.0,No,
42538,27.0,male,Master,34212.0,7,RENT,5000.0,MEDICAL,16.54,0.15,7.0,714.0,No,1.0
26253,28.0,female,Bachelor,75625.0,7,RENT,14000.0,VENTURE,10.99,0.19,10.0,647.0,No,0.0
43781,26.0,female,High School,62131.0,2,MORTGAGE,13000.0,MEDICAL,15.34,0.21,2.0,578.0,No,1.0
44844,22.0,female,Bachelor,17983.0,0,RENT,1780.0,VENTURE,16.15,0.1,3.0,534.0,No,1.0
3968,21.0,female,Associate,48990.0,0,OWN,15000.0,PERSONAL,10.99,0.31,3.0,693.0,No,0.0
23704,32.0,male,High School,71794.0,10,MORTGAGE,3500.0,MEDICAL,13.72,0.05,6.0,667.0,No,1.0
19214,32.0,female,Doctorate,37705.0,13,MORTGAGE,2400.0,EDUCATION,13.8,0.06,7.0,664.0,No,
4410,23.0,male,Associate,41839.0,3,MORTGAGE,2525.0,DEBTCONSOLIDATION,13.12,0.06,3.0,545.0,No,1.0
42958,27.0,male,Bachelor,87328.0,7,MORTGAGE,5000.0,VENTURE,12.12,0.06,10.0,668.0,No,1.0
33940,30.0,male,Bachelor,144623.0,10,MORTGAGE,7500.0,VENTURE,10.33,0.05,8.0,544.0,Yes,0.0
42368,26.0,male,Bachelor,36814.0,4,RENT,10625.0,VENTURE,9.13,0.29,4.0,635.0,No,1.0
1247,21.0,female,Bachelor,31566.0,0,OWN,8800.0,MEDICAL,9.33,0.28,3.0,700.0,Yes,0.0
19225,31.0,male,Associate,38881.0,7,RENT,13150.0,VENTURE,13.24,0.34,5.0,704.0,No,1.0
43094,31.0,male,Bachelor,25106.0,9,RENT,,MEDICAL,13.08,0.33,10.0,618.0,No,1.0
31707,41.0,female,High School,150888.0,20,MORTGAGE,14975.0,VENTURE,6.03,0.1,16.0,646.0,Yes,0.0
43221,28.0,male,,85215.0,3,RENT,25000.0,EDUCATION,12.04,0.29,7.0,633.0,No,1.0
28335,,male,High School,72730.0,3,MORTGAGE,15000.0,DEBTCONSOLIDATION,11.86,0.21,8.0,625.0,No,0.0
40419,24.0,,High School,91148.0,3,RENT,8000.0,MEDICAL,8.11,0.09,3.0,648.0,No,0.0
21982,32.0,male,High School,61894.0,6,MORTGAGE,10000.0,VENTURE,9.99,0.16,5.0,646.0,Yes,0.0
6799,21.0,female,Master,31197.0,1,RENT,7000.0,EDUCATION,12.69,0.22,2.0,607.0,Yes,0.0
35162,23.0,male,Associate,81042.0,0,MORTGAGE,24775.0,VENTURE,15.44,0.31,4.0,624.0,Yes,0.0
42170,31.0,female,Bachelor,39522.0,10,RENT,5000.0,VENTURE,16.29,0.13,8.0,691.0,No,1.0
25776,28.0,male,Bachelor,54955.0,7,RENT,2800.0,EDUCATION,11.01,0.05,8.0,665.0,Yes,0.0
20152,27.0,male,Master,40548.0,5,RENT,4000.0,MEDICAL,5.99,0.1,8.0,675.0,Yes,0.0
17081,21.0,female,High School,42708.0,0,OWN,4000.0,VENTURE,7.29,0.09,2.0,590.0,Yes,0.0
4451,23.0,,Associate,54705.0,4,RENT,4800.0,PERSONAL,13.98,0.09,2.0,644.0,Yes,0.0
2398,24.0,male,High School,69974.0,2,RENT,2500.0,EDUCATION,14.72,0.04,3.0,534.0,Yes,0.0
6359,23.0,male,Associate,44401.0,0,RENT,6000.0,PERSONAL,7.51,0.14,3.0,586.0,Yes,0.0
17841,29.0,male,Bachelor,102938.0,7,RENT,35000.0,PERSONAL,11.99,0.34,8.0,,No,1.0
41458,26.0,female,High School,78612.0,5,MORTGAGE,13554.0,EDUCATION,11.81,0.17,5.0,649.0,Yes,0.0
34376,29.0,male,Master,112670.0,5,MORTGAGE,5554.0,MEDICAL,10.91,0.05,7.0,600.0,Yes,0.0
13398,24.0,male,Bachelor,110222.0,3,MORTGAGE,16000.0,EDUCATION,7.88,0.15,3.0,523.0,Yes,0.0
30982,38.0,male,Associate,61057.0,19,RENT,10000.0,PERSONAL,11.01,0.16,13.0,584.0,No,0.0
6612,23.0,male,High School,61175.0,3,RENT,6000.0,PERSONAL,11.48,0.1,3.0,562.0,Yes,0.0
30702,39.0,male,Doctorate,74835.0,16,OWN,7200.0,PERSONAL,7.49,0.1,12.0,623.0,Yes,0.0
13440,23.0,male,Bachelor,89792.0,0,RENT,2600.0,DEBTCONSOLIDATION,15.27,0.03,3.0,613.0,Yes,0.0
27606,28.0,male,Master,111467.0,3,RENT,15000.0,DEBTCONSOLIDATION,7.9,0.13,9.0,600.0,Yes,0.0
543,21.0,male,,42536.0,0,RENT,,VENTURE,12.53,0.49,4.0,687.0,No,1.0
16585,21.0,male,High School,18834.0,0,RENT,2200.0,VENTURE,11.01,0.12,4.0,673.0,No,0.0
41635,25.0,male,Associate,56083.0,4,RENT,11000.0,VENTURE,12.35,0.2,3.0,549.0,Yes,0.0
18085,30.0,male,Master,217143.0,9,MORTGAGE,12500.0,DEBTCONSOLIDATION,6.03,0.06,6.0,692.0,No,0.0
38972,25.0,male,High School,55184.0,4,RENT,12389.0,DEBTCONSOLIDATION,10.51,0.22,3.0,594.0,Yes,0.0
25967,30.0,male,Bachelor,37127.0,5,RENT,12800.0,MEDICAL,14.79,0.34,9.0,579.0,No,1.0
32536,60.0,male,Doctorate,181016.0,37,MORTGAGE,10000.0,PERSONAL,5.79,0.06,18.0,696.0,No,0.0
23248,27.0,male,Associate,72927.0,4,MORTGAGE,7000.0,DEBTCONSOLIDATION,7.43,0.1,9.0,696.0,No,0.0
19633,32.0,male,Master,108812.0,11,RENT,3025.0,VENTURE,11.01,0.03,5.0,702.0,Yes,0.0
33717,25.0,male,High School,38025.0,4,MORTGAGE,7531.0,PERSONAL,9.13,0.2,6.0,,Yes,0.0
18147,31.0,male,Bachelor,190491.0,4,RENT,10200.0,DEBTCONSOLIDATION,15.99,0.05,7.0,646.0,No,1.0
5781,24.0,male,Associate,49364.0,0,MORTGAGE,8500.0,DEBTCONSOLIDATION,10.99,0.17,3.0,657.0,No,1.0
28815,27.0,female,Master,59794.0,2,MORTGAGE,8500.0,MEDICAL,10.59,0.14,10.0,688.0,No,0.0
13340,23.0,male,Bachelor,89438.0,2,RENT,2800.0,VENTURE,15.21,0.03,2.0,634.0,No,1.0
4435,22.0,female,High School,50707.0,0,RENT,4800.0,EDUCATION,11.89,0.09,3.0,602.0,No,0.0
1616,24.0,female,Master,47453.0,2,RENT,1500.0,EDUCATION,8.49,0.03,3.0,607.0,No,1.0
9971,24.0,male,,79193.0,1,MORTGAGE,5500.0,HOMEIMPROVEMENT,5.79,0.07,3.0,609.0,Yes,0.0
44725,22.0,female,High School,65959.0,1,RENT,3200.0,EDUCATION,16.49,0.05,3.0,585.0,No,1.0
